industry,name,quoteType,sector,symbol
Banks—Regional,Itau Unibanco Banco Holding SA,EQUITY,Financial Services,ITUB
Medical Instruments & Supplies,Warby Parker Inc.,EQUITY,Healthcare,WRBY
Software—Infrastructure,"Stem, Inc.",EQUITY,Technology,STEM
Biotechnology,"Clovis Oncology, Inc.",EQUITY,Healthcare,CLVS
Electronic Components,NEXTECH SOLUTIONS,EQUITY,Technology,NXSL
Medical Care Facilities,"ATI Physical Therapy, Inc.",EQUITY,Healthcare,ATIP
"Furnishings, Fixtures & Appliances",DEER CONSUMER PRODUCTS INC,EQUITY,Consumer Cyclical,DEER
Entertainment,EVA LIVE INC,EQUITY,Communication Services,GOAI
Specialty Chemicals,Livent Corporation,EQUITY,Basic Materials,LTHM
Biotechnology,TCR2 Therapeutics Inc.,EQUITY,Healthcare,TCRR
Communication Equipment,Inseego Corp.,EQUITY,Technology,INSG
Conglomerates,GLOBAL TECHNOLOGIES,EQUITY,Industrials,GTLL
Software—Application,"Compass, Inc.",EQUITY,Technology,COMP
Agricultural Inputs,Origin Agritech Limited,EQUITY,Basic Materials,SEED
Recreational Vehicles,OneWater Marine Inc.,EQUITY,Consumer Cyclical,ONEW
Communication Equipment,Gilat Satellite Networks Ltd.,EQUITY,Technology,GILT
REIT—Diversified,Safehold Inc.,EQUITY,Real Estate,SAFE
Electronic Components,VIPER NETWORKS INC,EQUITY,Technology,VPER
Medical Devices,"Biolase, Inc.",EQUITY,Healthcare,BIOL
Biotechnology,Enlivex Therapeutics Ltd.,EQUITY,Healthcare,ENLV
Software—Application,SOCIAL LIFE NETWORK INC,EQUITY,Technology,WDLF
Internet Retail,D-Market Electronic Services & ,EQUITY,Consumer Cyclical,HEPS
Software—Application,"Bill.com Holdings, Inc.",EQUITY,Technology,BILL
Chemicals,AdvanSix Inc.,EQUITY,Basic Materials,ASIX
Software—Application,"Latch, Inc.",EQUITY,Technology,LTCH
Specialty Retail,Party City Holdco Inc.,EQUITY,Consumer Cyclical,PRTY
Leisure,"YETI Holdings, Inc.",EQUITY,Consumer Cyclical,YETI
Semiconductors,Intel Corporation,EQUITY,Technology,INTC
Biotechnology,"Graphite Bio, Inc.",EQUITY,Healthcare,GRPH
Utilities—Regulated Water,"Cadiz, Inc.",EQUITY,Utilities,CDZI
Biotechnology,"Nkarta, Inc.",EQUITY,Healthcare,NKTX
Grocery Stores,"Krispy Kreme, Inc.",EQUITY,Consumer Defensive,DNUT
Aerospace & Defense,"Axon Enterprise, Inc.",EQUITY,Industrials,AXON
Other Industrial Metals & Mining,Teck Resources Ltd,EQUITY,Basic Materials,TECK
Banks—Diversified,"HSBC Holdings, plc.",EQUITY,Financial Services,HSBC
Consumer Electronics,Sony Group Corporation,EQUITY,Technology,SONY
